epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.44206704139709474,1.4568634033203125,0.5286965656280518,1.3679945182800293
1,0.5250184750556945,1.3248896646499633,0.5286965656280518,1.243011646270752
2,0.5473321080207825,1.2101153230667114,0.5989307093620301,1.0669921112060547
3,0.613811640739441,1.0454734539985657,0.6368318343162537,0.9349999213218689
4,0.6306715989112854,0.9554361128807067,0.6513386201858521,0.8734850430488587
5,0.6459642171859741,0.903236141204834,0.6576886534690857,0.8506230521202087
6,0.6530465936660766,0.8753716611862182,0.6638556814193726,0.840185444355011
7,0.6593630695343018,0.8555745816230774,0.6723409152030945,0.8100984764099121
8,0.6668659043312073,0.8345129442214966,0.6827511286735535,0.7924285554885864
9,0.6763642001152038,0.8109999895095825,0.6949977207183838,0.7615500378608704
10,0.6857522678375244,0.784912052154541,0.70398521900177,0.7346455478668212
11,0.6979971528053284,0.7566595077514648,0.7315022754669189,0.6758525085449218
12,0.7171943187713623,0.7155537533760071,0.7510261249542236,0.6301269936561584
13,0.7374244427680969,0.6698131442070008,0.7805306696891785,0.5636603236198425
14,0.7610343813896179,0.6176730585098267,0.8102568292617798,0.5092077684402466
15,0.7869909167289734,0.5637217664718628,0.8301750159263611,0.462701336145401
16,0.8072894835472106,0.5147567534446716,0.8426056909561157,0.42351181149482725
17,0.8252798295021058,0.4692524135112762,0.8558500289916993,0.38996695160865785
18,0.8390815329551696,0.43790277719497683,0.8680818200111389,0.3647278261184692
19,0.8505082392692566,0.4123527574539185,0.8754022860527039,0.34867653250694275
20,0.8603159141540527,0.3888294839859009,0.8858874988555908,0.3254187166690826
21,0.868546016216278,0.36864224433898923,0.8875454354286194,0.32014678955078124
22,0.8731505632400512,0.35701132893562315,0.8946545457839966,0.3012371039390564
23,0.8790122103691101,0.34154132843017576,0.8981068229675293,0.29196163058280944
24,0.8828758525848389,0.32970988035202026,0.9020397567749023,0.28210789084434507
25,0.8871031260490417,0.31861437201499937,0.9053874826431274,0.27362446904182436
26,0.8902491593360901,0.3105792260169983,0.9074795603752136,0.26804625511169433
27,0.893095452785492,0.30279810190200807,0.9106272649765015,0.26028926730155943
28,0.896232099533081,0.2950585389137268,0.9129681754112243,0.2544300222396851
29,0.8984806847572326,0.2891587734222412,0.9152534151077271,0.24784003615379332
30,0.9010999917984008,0.2813009858131409,0.9185181641578675,0.24053011178970338
31,0.9035107970237732,0.27627538084983827,0.9184795427322388,0.23903631687164306
32,0.9047877812385559,0.272589339017868,0.9211624789237977,0.23187692403793336
33,0.9070701813697815,0.26514445304870604,0.9213499927520752,0.23085039913654326
34,0.9085607814788819,0.26215604662895203,0.924477264881134,0.2231888961791992
35,0.91122074842453,0.2558962261676788,0.9247750115394592,0.22053274273872375
36,0.9127110767364502,0.2503324365615845,0.9249272727966309,0.2175223135948181
37,0.9140366506576538,0.24712041079998015,0.9278102111816406,0.21071986973285675
38,0.9159062623977661,0.24152567148208617,0.9280783963203431,0.20844424724578858
39,0.916928699016571,0.2379880291223526,0.9300488686561584,0.2040380346775055
40,0.9187846612930298,0.23322242379188537,0.9308318185806275,0.200520316362381
41,0.9194806790351868,0.23084970474243163,0.9310602235794068,0.19864349603652953
42,0.920868456363678,0.22710422158241272,0.9328682041168213,0.19502251863479614
43,0.9220187377929687,0.22405603408813476,0.9319397664070129,0.1945338249206543
44,0.9224784088134765,0.22232662081718446,0.9341590976715088,0.19181371510028838
45,0.922695746421814,0.2215128445625305,0.9325454401969909,0.19133510053157807
46,0.9242767119407653,0.21663495302200317,0.9354579591751099,0.18555947959423066
47,0.9257849383354188,0.21263831377029419,0.9375284147262574,0.18064143180847167
48,0.9269235801696777,0.20939216613769532,0.9372488570213318,0.18081303000450133
49,0.927122733592987,0.20782481670379638,0.9376488709449768,0.1778338348865509
50,0.9276664781570435,0.20554574966430664,0.9385125088691711,0.17732360243797302
51,0.9290812516212463,0.20202421247959138,0.9397750115394592,0.17308837175369263
52,0.9301676106452942,0.2004069221019745,0.9393647527694702,0.1725587499141693
53,0.9300843763351441,0.1994544392824173,0.9404715847969055,0.17008374214172364
54,0.931034369468689,0.19646189570426942,0.9404215884208679,0.17069880545139313
55,0.9310258603096009,0.19589592397212982,0.9414113664627075,0.16691891133785247
56,0.9326500105857849,0.1918069076538086,0.9425056910514832,0.16368820428848266
57,0.9329329586029053,0.1909652853012085,0.9421147656440735,0.1642226481437683
58,0.9337667560577393,0.18849166095256806,0.9426636338233948,0.16209174692630768
59,0.934451699256897,0.18671994924545288,0.9433329725265502,0.16136255919933318
60,0.934523024559021,0.1861823582649231,0.9433250093460083,0.15943245649337767
61,0.9349199032783508,0.18377892673015594,0.9443840837478638,0.15794036626815797
62,0.9360781192779541,0.18153016209602357,0.9453386235237121,0.15574823200702667
63,0.9365875029563904,0.1803847849369049,0.9457465958595276,0.15409835934638977
64,0.9369772648811341,0.17986567378044127,0.9449079489707947,0.1549583214521408
65,0.9375616526603698,0.17765074014663695,0.9458534145355224,0.15269642055034638
